Best Fitness, Average Fitness, Worst Fitness
66.0, 19.035, 2.0
85.0, 22.115, 4.0
92.0, 29.11, 4.0
91.0, 37.285, 14.0
93.0, 46.555, 15.0
91.0, 53.85, 26.0
102.0, 61.91, 27.0
119.0, 70.335, 26.0
124.0, 80.03, 47.0
124.0, 89.985, 60.0
116.0, 90.575, 52.0
136.0, 106.745, 75.0
140.0, 114.685, 79.0
147.0, 121.19, 93.0
155.0, 128.02, 100.0
163.0, 133.925, 109.0
163.0, 138.68, 115.0
169.0, 142.66, 123.0
174.0, 147.55, 127.0
175.0, 153.495, 127.0
179.0, 155.325, 121.0
187.0, 164.465, 142.0
205.0, 170.33, 147.0
201.0, 175.345, 143.0
201.0, 180.58, 162.0
201.0, 184.545, 167.0
214.0, 189.225, 173.0
214.0, 193.185, 180.0
220.0, 197.42, 183.0
220.0, 202.405, 186.0
220.0, 201.54, 180.0
224.0, 210.365, 184.0
224.0, 213.97, 200.0
224.0, 215.65, 200.0
224.0, 217.48, 213.0
226.0, 219.205, 213.0
228.0, 220.46, 214.0
228.0, 221.63, 214.0
229.0, 223.105, 219.0
231.0, 224.14, 219.0
230.0, 221.555, 203.0
233.0, 227.62, 221.0
234.0, 229.625, 222.0
234.0, 231.145, 222.0
234.0, 232.025, 229.0
234.0, 232.63, 229.0
235.0, 233.175, 231.0
236.0, 233.59, 232.0
236.0, 234.025, 232.0
236.0, 234.405, 233.0
239.0, 233.62, 232.0
238.0, 235.425, 233.0
244.0, 235.985, 234.0
245.0, 236.36, 235.0
245.0, 236.71, 235.0
245.0, 237.21, 236.0
247.0, 237.91, 236.0
247.0, 238.59, 234.0
247.0, 239.035, 236.0
248.0, 239.51, 238.0
253.0, 239.68, 237.0
248.0, 240.985, 238.0
248.0, 242.71, 239.0
248.0, 244.99, 239.0
249.0, 246.97, 239.0
249.0, 247.55, 240.0
249.0, 247.89, 247.0
249.0, 248.0, 247.0
249.0, 248.025, 248.0
249.0, 248.055, 248.0
253.0, 253.0, 253.0
249.0, 248.08, 248.0
249.0, 248.15, 248.0
249.0, 248.305, 248.0
249.0, 248.505, 248.0
249.0, 248.72, 248.0
249.0, 248.925, 248.0
249.0, 248.995, 248.0
249.0, 249.0, 249.0
249.0, 249.0, 249.0
253.0, 253.0, 253.0
249.0, 249.0, 249.0
249.0, 249.0, 249.0
249.0, 249.0, 249.0
249.0, 249.0, 249.0
249.0, 249.0, 249.0
249.0, 249.0, 249.0
249.0, 249.0, 249.0
249.0, 249.0, 249.0
249.0, 249.0, 249.0
253.0, 253.0, 253.0
